source_image,metric_type,start_date,end_date,visible_date_range_text,y_axis_values,notes
IMG_6391.PNG,RHR,2025-06-06,2026-06-04,6 giu 2025 - 4 giu 2026,180 140 100 60,OCR metadata for screenshot graph digitization.
IMG_6392.PNG,RHR,2025-06-06,2026-06-04,6 giu 2025 - 4 giu 2026,180 140 100 60,OCR metadata for screenshot graph digitization.
IMG_6393.PNG,RHR,2024-06-07,2025-06-05,7 giu 2024 - 5 giu 2025,180 140 100 60,OCR metadata for screenshot graph digitization.
IMG_6394.PNG,RHR,2023-06-09,2024-06-06,9 giu 2023 - 6 giu 2024,180 140 100 60,OCR metadata for screenshot graph digitization.
IMG_6395.PNG,RHR,2022-06-10,2023-06-08,10 giu 2022 - 8 giu 2023,180 140 100 60,OCR metadata for screenshot graph digitization.
IMG_6396.PNG,HRV,2026-05-08,2026-06-04,8 mag - 4 giu,71 64 57 50,OCR metadata for screenshot graph digitization.
IMG_6397.PNG,HRV,2026-04-10,2026-05-07,10 apr - 7 mag,70 63 48,OCR metadata for screenshot graph digitization.
IMG_6398.PNG,HRV,2026-03-13,2026-04-09,13 mar - 9 apr,69 62 54 47,OCR metadata for screenshot graph digitization.
IMG_6399.PNG,HRV,2026-02-13,2026-03-12,13 feb - 12 mar,70 61 52 43,OCR metadata for screenshot graph digitization.
IMG_6400.PNG,HRV,2026-01-16,2026-02-12,16 gen - 12 feb,72 63 54 46,OCR metadata for screenshot graph digitization.
IMG_6401.PNG,HRV,2025-12-19,2026-01-15,19 dic 2025 - 15 gen 2026,74 66 58 50,OCR metadata for screenshot graph digitization.
IMG_6402.PNG,HRV,2025-11-21,2025-12-18,"21 nov - 18 dic, 2025",79 69 49,OCR metadata for screenshot graph digitization.
IMG_6403.PNG,HRV,2025-10-24,2025-11-20,"24 ott - 20 nov, 2025",82 72 62 52,OCR metadata for screenshot graph digitization.
IMG_6404.PNG,HRV,2025-09-26,2025-10-23,"26 set - 23 ott, 2025",82 71 61 51,OCR metadata for screenshot graph digitization.
IMG_6405.PNG,HRV,2025-08-29,2025-09-25,"29 ago - 25 set, 2025",81 71 61 52,OCR metadata for screenshot graph digitization.
IMG_6406.PNG,HRV,2025-08-29,2025-09-25,"29 ago - 25 set, 2025",81 71 61 52,OCR metadata for screenshot graph digitization.
IMG_6407.PNG,HRV,2025-08-01,2025-08-28,"1 ago-28, 2025",80 70 60 51,OCR metadata for screenshot graph digitization.
IMG_6408.PNG,HRV,2025-07-04,2025-07-31,"4 lug-31, 2025",76 66 56 46,OCR metadata for screenshot graph digitization.
IMG_6409.PNG,HRV,2025-06-06,2025-07-03,"6 giu - 3 lug, 2025",70 61 53 45,OCR metadata for screenshot graph digitization.
IMG_6410.PNG,HRV,2025-05-09,2025-06-05,"9 mag - 5 giu, 2025",63 57 51 45,OCR metadata for screenshot graph digitization.
IMG_6411.PNG,HRV,2025-04-11,2025-05-08,"11 apr - 8 mag, 2025",63 56 50 44,OCR metadata for screenshot graph digitization.
IMG_6412.PNG,HRV,2025-04-11,2025-05-08,"11 apr - 8 mag, 2025",63 56 50 44,OCR metadata for screenshot graph digitization.
IMG_6413.PNG,HRV,2025-03-14,2025-04-10,"14 mar - 10 apr, 2025",65 58 51 44,OCR metadata for screenshot graph digitization.
IMG_6414.PNG,HRV,2025-02-14,2025-03-13,"14 feb - 13 mar, 2025",,OCR metadata for screenshot graph digitization.
IMG_6415.PNG,HRV,2025-01-17,2025-02-13,"17 gen - 13 feb, 2025",63 57 51 46,OCR metadata for screenshot graph digitization.
IMG_6416.PNG,HRV,2024-12-20,2025-01-16,20 dic 2024 - 16 gen 2025,65 59 52 46,OCR metadata for screenshot graph digitization.
IMG_6417.PNG,HRV,2024-11-22,2024-12-19,"22 nov - 19 dic, 2024",67 60 46,OCR metadata for screenshot graph digitization.
IMG_6418.PNG,HRV,2024-10-25,2024-11-21,"25 ott - 21 nov, 2024",68 61 53 46,OCR metadata for screenshot graph digitization.
IMG_6419.PNG,HRV,2024-09-27,2024-10-24,"27 set - 24 ott, 2024",67 60 52 45,OCR metadata for screenshot graph digitization.
IMG_6420.PNG,HRV,2024-08-30,2024-09-26,"30 ago - 26 set, 2024",68 59 51 43,OCR metadata for screenshot graph digitization.
IMG_6421.PNG,HRV,2024-08-02,2024-08-29,"2 ago-29, 2024",,OCR metadata for screenshot graph digitization.
IMG_6422.PNG,HRV,2024-08-02,2024-08-29,"2 ago-29, 2024",68 60 53 46,OCR metadata for screenshot graph digitization.
IMG_6423.PNG,HRV,2024-07-05,2024-08-01,"5 lug - 1 ago, 2024",,OCR metadata for screenshot graph digitization.
IMG_6424.PNG,HRV,2024-07-05,2024-08-01,"5 lug - 1 ago, 2024",66 60 53 47,OCR metadata for screenshot graph digitization.
IMG_6425.PNG,HRV,2024-06-07,2024-07-04,"7 giu - 4 lug, 2024",66 59 52 46,OCR metadata for screenshot graph digitization.
